a,一個
tandem,串聯的
ordination,排序
yves,伊夫
overweight,超重
beginnings,開始
coordinators,協調員
reversal,倒轉
presses,印刷機
vanderbilt,范德比爾特
pte,私人職業技術有限公司
westin,威斯汀
maureen,莫林
compactflash,緊湊型快閃記憶體
deliberate,故意
guidebook,指南
boil,煮
abe,安倍晉三
barley,大麥
roc,大鵬
dementia,失智
surprises,驚喜
gagged,堵嘴
vo,沃
amusing,有趣
filesystem,檔案系統
ripencc,里彭克
pilates,普拉提
docking,對接
mastering,掌握
pow,戰俘
packers,殼
shoppy,購物
retains,保留
middleware,中間件
potent,有力的
roundtable,圓桌會議
backstreet,小巷
mips,米普斯
kylie,凱莉
levine,萊文
nerves,神經
chimney,煙囪
atreyu,阿特雷尤
mistaken,錯誤
miracles,奇跡
risky,危險
lic,利克
carving,雕刻
archiving,歸檔
stl,STL
multilingual,多種語言
yd,碼
gsa,GSA
fractions,分數
remedial,治療
docume,文件
vain,儚
desperately,拼命地
tulip,鬱金香
disconnect,斷開
proverbs,諺語
clair,克雷爾
xy,XY
indies,印度
sherry,雪麗酒
madame,夫人
slipped,下滑
crete,克里特
localized,當地語系化
realism,現實主義
fte,富特
bloodhound,獵犬
naomi,內奧米
cumming,卡明
rode,騎
barefoot,赤腳
categorized,分類
owing,由於
thematic,題目的
playlists,播放清單
departing,離開
bologna,博洛尼亞
ronnie,羅尼
evacuation,疏散
imposing,髞
cmos,首席行銷官
bohemian,波希米亞
receivable,應收賬款
remuneration,報酬
maze,迷宮
warp,經線
transmissions,傳輸
immunization,免疫
bert,伯特
brentwood,布倫特伍德
implant,植入
marching,行進
damon,達蒙
dalton,道爾頓
tivoli,蒂沃利
ciara,席亞拉
interviewing,面試
amen,阿門
catholics,天主教徒
inception,初始
imo,國際海事組織
buffers,緩衝區
katz,卡茨
servings,份
emotionally,情緒
reinforce,加強
benny,班尼
otc,在-
sclerosis,硬化
faculties,院系
subversion,顛覆
jojo,喬喬
declares,聲明
homosexuality,同性戀
bowman,鮑曼
draper,德雷柏
spires,尖頂
frustrating,令人沮喪
ssa,SSA
talkback,對講
kobe,科比
masonry,砌築
dinnerware,餐具
zeta,截塔
denies,否認
correctional,矯正
barney,巴尼
baylor,貝勒
realizing,實現
accrued,累積
carbohydrate,碳水化合物
telescopes,望遠鏡
champs,冠軍
medicinal,藥用
ipods,iPod
averaging,平均
magellan,麥哲倫
shui,水
indoors,室內
federated,聯邦
staging,分期
flashlight,手電筒筒筒
addicted,上癮
disappointing,令人失望
eighty,八十
statistic,統計
roche,羅氏
annum,年
odbc,奧德布克
estrogen,雌激素
ropes,繩索
unlocked,解鎖
openbsd,OpenBSD
temples,鬢
rockford,羅克福德
cemeteries,墳場
scarce,稀缺
salads,沙拉
diluted,稀釋
canine,犬
gladly,樂意
torino,都靈
brew,釀造
topped,突破
kern,科恩
dominance,優勢
lineage,血統
cannes,戛納
predators,掠食者
rag,抹布
mehr,梅爾
adhesives,膠粘劑
itu,國際電聯
cords,線
sealing,密封
piston,活塞
brewery,釀酒廠
vaughan,沃恩
schizophrenia,精神分裂症
morse,莫爾斯
spiders,蜘蛛
coup,政變
plague,瘟疫
julius,朱利葉斯
mpi,理工學院
obedience,服從
cass,卡斯
revisited,重新審視
fore,前
absorb,吸收
despair,絕望
supernatural,超自然
alps,阿爾卑斯山
econ,經濟
brokeback,斷背
ow,哎呀
footjob,足交
overlooked,忽視
tagging,標記
ditch,渠
slick,光滑
triggers,觸發器
inventories,庫存
rowe,羅
feared,擔心
constructs,構建
magenta,品紅
commentaries,評論
enlisted,入伍
uf,超高頻
prophets,先知
prelude,前奏曲
overly,過度地
injected,注入
limestone,石灰石
commodore,準將
warez,瓦雷茲
dumping,傾銷
manpower,人力
hbo,英國廣播公司
refundable,退還
slept,睡
dragonfly,蜻蜓
billboard,看板
chunk,塊
sportsbook,體育博彩
specialization,專業化
drafted,起草
chalet,小屋
huang,黃
scandinavian,斯堪的納維亞
starbucks,星巴克
viability,可行性
lec,萊克
subs,潛艇
hopper,料鬥
ibook,愛書
abstraction,抽象化
impedance,阻抗
gregg,格雷格
neurological,神經學上的
sus,蘇斯
ludwig,路德維希
lob,洛布
watchdog,看門狗
underoath,誓言下
layered,分層的
reels,捲軸
researched,研究
luncheon,午餐
zenith,天頂
waits,等待
copiers,複印機
browns,棕色
detained,拘留
genomics,基因組學
airplanes,飛機
scrub,擦洗
cello,大提琴
occupy,佔據
plenary,全體出席的
smiley,笑臉
poe,坡
sweepstakes,抽獎
yi,彝
antigens,抗原
refusing,拒絕
suffers,遭受
wilkinson,威爾金森
filler,填料
kh,噶
ovarian,卵巢
yum,百勝
softly,輕輕地
limb,肢體
intestinal,腸的
tenor,男高音
wlan,無線局域網
stabilization,穩定
bethlehem,伯利恆
cocos,科科斯
stuttgart,斯圖加特
caves,洞穴
immense,巨大
midtown,市中心
seizure,沒收
rumsfeld,拉姆斯菲爾德
tricky,棘手
differing,不同
mute,靜音
audrey,奧德麗
impacted,影響
thurs,星期四
metre,米
prescott,普雷斯科特
foreigners,夷
aiming,瞄準
ordinances,條例
gan,贛語
beanie,豆豆
kinetics,動力學
capitalist,資本家
authoritative,權威
celestial,天體
diplomacy,外交
limp,跛行
protestant,新教徒
merlin,梅林
dar,達爾
freq,頻率
ans,答
segmentation,分割
dart,飛鏢
topaz,黃玉
robe,袍
soaps,肥皂
maharashtra,馬哈拉施特拉邦
wrought,造成
heidelberg,海德堡
lebanese,黎巴嫩
housekeeping,家政
captive,俘虜
kettle,水壺
entrepreneurial,創業
multitude,眾多
ezra,艾拉
tutors,導師
albion,阿爾比恩
courthouse,法院
ricoh,理光
psycho,心理
sutherland,薩瑟蘭
koch,科赫
theresa,特裡薩
imaginary,虛構的
spaced,間隔
visitation,探視
nrc,國家廣播公司
wtf,跆拳道
asst,助理
vikings,海盜
bootstrap,啟動
scm,單片機
overload,超載
tortured,折磨
baggage,行李
pioneers,先驅
affection,感情
unfinished,未完成的
twink,叮叮噹噹
episcopal,主教
cared,關心
gibbs,吉布斯
moonlight,月光
kanye,侃爺
serena,瑟琳娜
chavez,查韋斯
patty,肉餅
chr,CHR
dusty,塵土飛揚
humane,人道的
sworn,發誓
satire,諷刺
goth,哥特人
mast,桅杆
fno,非諾
travelocity,旅遊城
crate,板條箱
pussycat,貓咪
kin,家
educating,教育
cozy,舒適
slippers,拖鞋
unclassified,未分類
bookshelf,書架
earthquakes,地震
liquids,液體
vicious,惡性
bowen,博文
comb,梳
hayward,海沃德
htdocs,HTDOCS
mallorca,馬略卡島
vineyards,葡萄園
oj,OJ
mackenzie,麥肯齊
amer,阿米爾
frogs,青蛙
wandering,徘徊
reversible,可逆
appropriated,撥款
zur,祖爾
spd,社民黨
affiliations,背景
beech,山毛櫸
koh,許島
nortel,北電
escherichia,埃希里希亞
unreasonable,不合理
initialization,初始化
alas,ol/s
constituency,選區
tense,緊張
miners,礦工
timers,定時器
maori,毛利語
filipino,菲律賓文
predicting,預測
prudential,誠
sawyer,索耶
rocker,搖桿
acknowledges,承認
enrolment,招生
lawmakers,議員
devotion,奉獻
cooled,冷卻
consequential,相應
economists,經濟學家
raider,突襲
basel,巴塞爾
expat,外籍人士
stimulus,刺激物
agnes,艾格尼絲
fps,幀率
migrant,候鳥
osborne,奧斯本
glibc,格利布
farmington,法明頓
centrally,集中
luv,親愛的
anterior,前面的
invoke,調用
leaning,傾斜
compose,組成
paddle,槳
freedoms,自由
illumination,照明
dealership,轉銷商
eyewear,眼鏡
foley,福利
chop,砍
moran,莫蘭
finale,結局
decal,貼花
weaker,弱
arte,藝術
larson,拉森
oxley,奧克斯利
foolish,愚蠢
fir,冷杉
rooted,植根
benches,長椅
acl,前交叉韌帶
stirling,斯特林
photosmart,光智慧
bakersfield,貝克斯菲爾德
onyx,縞瑪瑙
watkins,沃特金斯
gigabyte,技嘉
pornstars,色情明星
painters,畫家
addictive,上癮
nausea,噁心
temps,臨時工
comfortably,舒適
repaired,修復
vn,VN
floods,洪水
macos,macOS
obituary,訃告
multinational,跨國
fritz,弗里茨
fiona,菲奧娜
rainforest,雨林
sustaining,維持
dbz,分貝茲
thistle,薊
tem,透射電鏡
mover,動機
francois,弗朗索瓦
hoop,箍
clarinet,單簧管
federally,聯邦
erica,埃裡卡
diocese,教區
modeled,建模
clearer,清晰
malaga,馬拉加
aspirin,阿司匹林
shaun,肖恩
sleepy,困
nope,不
dire,可怕
attendant,服務員
footnotes,腳注
spoilers,劇透
jour,日間
fauna,動物區系
machining,加工
memoir,回憶錄
shrine,神社
purified,純化
emo,情緒化
cliffs,懸崖
striving,努力
hayden,海登
roadside,路邊
mir,和平號
evo,埃沃
malibu,馬里布
gull,鷗
meredith,梅瑞狄斯
smells,聞起來
rupert,魯珀特
gatwick,蓋特威克機場
redundancy,冗餘
betsy,貝茜
northumberland,諾森伯蘭
dispose,處理
reflex,反射
spurs,馬刺
waking,醒來
automate,自動化
ortho,鄰
drupal,核酸
graduating,畢業
branson,布蘭森
appraisals,評估
feathers,羽毛
drosophila,果蠅
prac,普拉克
brit,英國人
crashed,墜毀
detox,排毒
falcons,獵鷹
carers,老者
skateboard,滑板
gould,古爾德
kramer,克萊默
eliza,伊莉莎
urgency,緊迫性
sion,錫永
flashes,閃爍
lakewood,萊克伍德
usaid,美國國際開發署
travelled,旅行
rims,輪輧
harmonic,諧波
darts,飛鏢
idc,IDC
flaw,缺陷
shin,脛骨
keypad,鍵盤
intriguing,有趣
caregivers,護理人員
microbial,微生物
discarded,丟棄
tails,尾巴
angular,角
synonyms,同義詞
folds,褶皺
bibles,聖經
quark,誇克
electronica,電子樂
mitochondrial,線粒體
joanna,喬安娜
hangs,掛
emulator,模擬
horton,霍頓
pane,窗格
richland,麗晶
hercules,大力神
zyban,茲班
veins,脈
adc,模數轉換器
stranded,滯留
browning,褐變
dolce,多爾塞
grinder,磨床
avoidance,避免
endeavor,努力
snapshots,快照
probabilities,概率
mariners,水手
dinosaurs,恐龍
filming,拍攝
wj,王傑
sneak,潛行
meth,甲基苯丙胺
incorrectly,錯誤
trendy,時尚
vibe,氛圍
saturdays,星期六
mateo,馬迪歐
inpatient,住院病人
angie,安吉
teas,再的
cre,克雷
sauces,醬汁
immortal,不朽
creole,克里奧爾語
badger,獾
mccoy,麥考伊
ubc,不列顛哥倫比亞大學
octet,八位位元組
conquer,征服
settling,解決
mohammed,穆罕默德
fread,恐懼
backend,後端
companions,同伴
partisan,黨派
willy,威利
gratitude,感激
eminent,傑出
quilts,被子
communicated,溝通
exceptionally,異常
cheques,支票
subscribing,訂閱
walmart,沃爾瑪
splits,分裂
aliases,別名
anon,匿名
screwed,搞砸
containment,遏制
pri,普里
ageing,老化
impress,打動
ribs,肋骨
magna,麥格納
keynes,凱恩斯
edith,伊迪絲
maximizing,最大化
handsfree,免提
cartier,卡地亞
protections,保護
tomcat,雄貓
fashionable,時尚
nite,尼特
huns,匈奴
dolly,洋娃娃
sectional,分
interestingly,有趣
hog,豬
vitality,活力
polly,波莉
clerks,職員
vengeance,復讎
bothered,困擾
mckenzie,麥肯齊
traverse,遍曆
ballots,選票
tidal,潮汐
crust,地殼
barb,芭芭拉
jules,朱爾斯
boycott,抵制
poole,普爾
organisers,主辦單位
sal,薩爾
ernie,厄尼
miner,礦工
lenox,萊諾克斯
garrison,駐軍
elem,埃萊姆
pissed,生氣了
testify,作證
sect,教派
xiv,十四
regis,瑞吉斯
constituent,成分
anticipation,預期
sponge,海綿
diner,餐館
sgd,新幣
genital,生殖器
barr,巴爾
insomnia,失眠
enduring,持久
algebraic,代數的
analogy,類比
csu,科羅拉多州立大學
fashions,時尚
winters,冬天
cecil,塞西爾
nous,理性
astm,美國統計標準協會
explosives,炸藥
mcse,MCSE
cajun,印第安
mound,土堆
aura,光環
fsa,FSA
darussalam,達魯薩蘭國
backgammon,雙陸棋
scarborough,斯卡布羅
kristen,克里斯汀
constituted,構成
nad,納德
ox,牛
ftd,FTD
chefs,廚師
ladyboys,Ladyboy
buff,迷
mueller,穆勒
cao,曹
kissed,吻
butcher,屠夫
engraving,雕刻
ibiza,伊維薩
freezers,冰櫃
ethan,伊森
owed,欠
gallagher,加拉格爾
hamlet,哈姆雷特
digimon,數碼寶貝
gastrointestinal,胃腸
overdose,過量
psalms,詩篇
rum,蘭姆酒
reese,裡斯
orgasms,高潮
mole,鼴鼠
chromatography,色譜法
plantronics,普蘭特龍
obs,觀察系統
snatch,搶奪
clad,複合
excursion,遠足
orb,球
bse,瘋牛病
resigned,辭職
retriever,獵犬
matlab,馬特實驗室
vortex,旋渦
pixar,皮克斯
swings,波動
enriched,豐富
elle,艾爾
smb,中小企業
svalbard,斯瓦爾巴群島
contrib,康特裡布
megapixels,百萬像素
blu,藍光
fled,逃離
dhtml,目錄
grange,田莊
scion,接穗
harrington,哈林頓
netware,網路軟體
inverness,因弗內斯
reptiles,爬行動物
asm,安斯曼
pagerank,頁面排名
inspiron,因賽隆
swallowing,吞咽
brandy,白蘭地
australasia,大洋洲
requisite,必要
xiii,十三
bodily,身體的
mandy,曼迪
lizard,蜥蜴
hoods,罩
emphasizes,強調
purses,錢包
bros,兄弟
fireplaces,壁爐
tehran,德黑蘭
bouquets,花束
func,函數
antitrust,反壟斷
awe,敬畏
equine,馬
beaumont,博蒙特
anesthesia,麻醉
gamespy,遊戲間諜
standalone,獨立
jared,傑瑞德
shropshire,什羅普
wears,穿
winme,贏我
hawthorne,霍桑
dal,達爾
proto,原始
retrospective,回顧的
baja,巴哈
breaker,斷路器
signage,標誌
numbering,編號
circumstance,情況
spectator,觀眾
encode,編碼
admins,管理員
curly,捲曲的
prob,概率
cabbage,白菜
moc,商務部
safeguards,保障
accolades,榮譽
regal,富豪
dau,道
arrests,逮捕
sliced,切片
alvin,阿爾文
byrd,伯德
cub,幼獸
servlet,奴役
infertility,不孕症
psy,心理素質
raton,拉頓
libtool,庫工具
filemaker,檔製作者
stefani,斯特凡尼
wrongful,不法的
sidewalk,人行道
reproductions,複製品
aces,王牌
spiderman,蜘蛛俠
xxl,三十一
jealous,嫉妒
refinement,優雅
flick,電影
stimulated,刺激
rhythms,節奏
canceled,取消
bankruptcies,破產
wharf,碼頭
gauges,表
bridging,橋
datum,基準
blueprint,藍圖
chickens,雞
departures,離開
squirrel,松鼠
learnt,學
hound,獵犬
concealed,隱蔽
collage,拼貼
shotgun,獵槍
asserted,斷言
benchmarking,標杆
alberto,阿爾貝托
teleflora,泰勒弗洛拉
depeche,德佩切
mccain,麥凱恩
durban,德班
unaware,知道
wwf,世界自然基金會
psalm,詩篇
ipo,首次公開招股
serv,服務
empowering,授權
ipc,工控機
maize,玉米
facilitator,主持人
bib,圍兜
ry,瑞
scented,香味
timestamp,時間戳
discretionary,酌情
tek,再-
langley,蘭利
lq,愛秦
musica,音樂
smc,薄片公司
briggs,布裡格斯
banff,班夫
bos,博斯
galveston,加爾維斯頓
extinction,滅絕
rockville,羅克維爾
ymca,基督教青年會
macworld,蘋果世界
lug,凸耳
cheyenne,夏延
surveyor,測量員
gowns,禮服
sandbox,沙箱
spying,間諜
dermatology,皮膚病學
swell,膨脹
bloc,集團
cambridgeshire,劍橋
leaks,洩漏
obstacle,障礙
mantle,地幔
recurrent,迴圈的
fluorescence,螢光
additives,添加劑
chico,奇科
mdt,MDT
talbot,塔爾博特
stevie,史蒂夫
recursive,遞歸的
tam,潭
luton,盧頓
ville,維爾
nicholson,尼克爾森
ek,埃克
premiership,英超
conftest,最熟悉
kosher,猶太
registerregister,註冊註冊註冊
pinkworld,粉紅世界
lied,撒謊
rivera,里維拉
gesture,手勢
acquires,獲得
liquidity,流動性
irony,諷刺
merging,合併
fairbanks,費爾班克斯
santos,桑托斯
owls,貓頭鷹
camper,露營
cutters,刀具
hugs,擁抱
hy,嘿嘿
merchandising,銷售
sophia,索菲亞
convictions,信念
prohibits,禁止
armies,軍隊
breadth,廣度
ceased,停止
lasik,激光手術
intentional,故意
greenfield,綠地
plaques,斑塊
galactic,銀河
parfum,香水
mandrake,曼德拉草
cpr,心肺復甦術
driveway,車道
mammoth,猛獁
marketed,銷售
pronunciation,發音
viper,毒蛇
hid,藏
elec,電子
descriptor,描述符
ami,阿米
parcels,包裹
levin,萊
pastry,糕點
manners,禮儀
uncovered,發現
phosphorus,磷
placements,配置
gimp,瘸子
thieves,小偷
registrant,註冊
volcanic,火山
reorganization,再編製
concession,讓步
ombudsman,申訴專員
ih,伊赫
measurable,可測量的
gypsy,吉普賽人
firefighters,消防隊員
academia,學術界
innings,局
preaching,說教
pimp,皮條客
amiga,阿米加
repeal,廢除
hemp,麻
eileen,愛琳
litre,升
swimsuit,泳裝
cyclic,週期的
pelican,鵜鶘
proficient,熟練
admire,欣賞
binds,綁定
discharges,放電
condom,避孕套
textual,文本
giorgio,喬治
usefulness,效用
poured,倒
suffix,後綴
cousins,堂兄弟
apocalypse,啟示
correlations,相關性
nk,北韓
westerns,西方人
dodgers,道奇隊
titus,提多
unveiled,公佈
versace,范思哲
morphology,形態學
burt,伯特
handsets,手機
unsolicited,不請自來
printprinter,印表表機
mondays,星期一
inks,油墨
mister,先生
diarrhea,腹瀉
kms,千米
inorganic,無機
gandhi,甘地
foliage,樹葉
ocr,光學字元識別
itk,伊特克
installment,分期付款
scholastic,學術
insertions,插入
summarize,總結
generals,將軍
goats,山羊
heavens,天空
wink,眨眼
nod,點頭
withholding,扣繳
autographs,簽名
rounding,捨入
flare,耀斑
fife,橫笛
crank,曲柄
couture,時裝
wight,懷特
spindle,紡錘
ativan,阿蒂萬
seahawks,海鷹隊
creamy,含乳脂的
backups,備份
rains,下雨
novelties,新奇
washers,墊圈
sheldon,謝爾頓
gigantic,巨大
mayhem,混亂
exposition,博覽會
savesave,保存保存
brace,支撐
buckley,巴克利
stub,存根
organise,組織
fundamentally,從根本上
grep,格雷普
optimisation,優化
citrix,思傑
polymerase,聚合酶
middleton,米德爾頓
laminated,層壓
struts,支柱
octave,八度
abdul,阿卜杜勒
ryder,萊德
xeon,至強
tort,侵權行為
animalsex,動物EX
turismo,圖裡斯莫
easyshare,易享
separates,分離
afro,非洲
suppress,抑制
violates,違反
facilitated,促進
proofs,證明
mach,馬赫
alloys,合金
paolo,保羅
miquelon,密克隆群島
harding,哈丁
thn,千
nolan,諾蘭
dams,大壩
ud,烏德
biosynthesis,生物合成
precedent,先例
confirming,確認
prosecutors,檢察官
joplin,喬普林
bridget,布裡奇特
metaphor,隱喻
wonderland,仙境
rutherford,盧瑟福
getaways,出遊
dialup,撥號
garth,加思
cvsroot,CVS根
deserved,應得
nx,恩克斯
zine,雜誌
analysed,分析
mango,芒果
jin,晉語
organising,組織
spur,刺激
polite,禮貌
argus,阿古斯
carla,卡拉
jessie,傑西
landmarks,地標
cleavage,分裂
sith,西斯
bulldog,牛頭犬
seventeen,十七
asynchronous,異步
wie,威
meats,肉類
infusion,輸液
paving,鋪路
conn,控制室
clearinghouse,清算
perennial,多年生
thigh,大腿
jacqueline,傑奎琳
cyclone,氣旋
messageslog,消息日誌
truman,杜魯門
dwi,德維
jubilee,禧
brethren,同胞
windy,風
facilitates,促進
lipstick,口紅
calc,計算
mastery,掌握
honourable,議員
pact,協定
specialised,專業
toilette,香水
trailing,尾隨
punished,懲罰
stamford,斯坦福
recruited,招募
marketers,行銷
chronology,年表
gradual,逐漸
uma,烏瑪
alamo,阿拉莫
saturation,飽和
lulu,露露露
bernstein,伯恩斯坦
skis,滑雪板
violating,違反
kpx,千兆位元組
embodiment,體現
itc,國際貿易中心
everquest,永恆任務
ramones,拉蒙斯
brennan,布倫南
vogue,時尚
tues,星期二
kan,直人
ean,伊恩
hyderabad,海德拉巴
lesbos,萊斯博斯島
molding,成型
confession,懺悔
zaire,扎伊爾
steer,引導
nesting,嵌套
compromised,妥協
thermometer,溫度計
spaghetti,義大利麵條
vita,維塔
boogie,布吉
benedict,本篤
aired,播出
downhill,下坡
outward,向外
utilizes,利用
fla,。.fla
whisper,耳語
ipswich,伊普斯維奇
comcast,康卡斯特
cranberry,蔓越桔
vodka,伏特加
deprived,剝奪
attn,收件者
abramoff,阿布拉莫夫
sakai,酒
wig,假髮
leopard,豹
bricks,磚
bounty,賞金
tolerant,寬容
earring,耳環
committing,犯
fishes,魚
enactment,制定
taurus,金牛座
knobs,旋鈕
communism,共產主義
stoves,爐具
laminate,層壓
whiskey,威士卡
ska,斯卡
ringing,響
lk,力科
rajasthan,拉賈斯坦邦
flowering,開花
arcadia,世外桃源
jingle,靜樂縣
fasteners,緊固件
embryo,胚胎
datatype,數據類型
absurd,荒謬
postnuke,核后
inlog,內日誌
aggregator,聚合
atl,ATL
iteration,反覆運算
dispenser,藥劑師
ibis,朱鷺
approving,批准
respecting,關於
separating,分離
markings,標記
sme,中小企業
dma,DMA
richie,裡奇
tractors,拖拉機
kp,金伯利進程
soups,湯
furious,憤怒
drained,排水
salts,鹽類
ceilings,天花板
ims,IMS
unidentified,不明
nora,諾拉
yyyy,年
refills,筆芯
ergonomic,符合人體工程學
marietta,瑪麗埃塔
moist,潮濕
vida,維達
trina,天合光能
residing,居住
unsafe,不安全的
audiobooks,有聲讀物
gk,GK
ohm,歐姆
truste,信任
coed,男女同校
sheikh,酋長
mule,騾子
vx,VX
cessation,停止
fingerprint,指紋
pests,害蟲
motive,動機
mfc,MFC
acreage,面積
plano,平
audition,試演
mca,馬華
append,附加
cummings,卡明斯
sorority,聯誼會
duel,決鬥
kiwi,幾維鳥
stocked,備貨
hernandez,埃爾南德斯
seasoned,經驗豐富
bethel,伯特利
sunflower,向日葵
bernardino,貝納迪諾
spp,最高人民檢察院
entre,恩特雷
leveraging,利用
tal,塔爾
nmr,核磁共振
reinforcement,加固
saxophone,薩克斯管
htm,。.htm
horticulture,園藝
gong,鑼
cocktails,雞尾酒
doris,桃樂絲
ber,誤碼率
stokes,斯托克斯
motives,動機
communicator,溝通
resets,重置
ats,苯丙胺類興奮劑
psychotherapy,心理治療
lakers,湖人
throttle,節流閥
sunderland,桑德蘭
util,實用性
steroid,類固醇
guessing,猜
dhs,國土安全部
mso,姆索
lortab,洛塔布
provost,教務長
harlem,哈萊姆
mead,蜂蜜酒
dwight,德懷特
bono,波諾
isolate,隔離
seizures,發作
sensual,肉感
brunch,早午餐
faulty,錯誤
affidavit,宣誓書
sympathetic,同情
messiah,彌賽亞
expiry,滿期
waterfall,瀑布
acronym,縮寫
pundit,專家
breathtaking,驚人
unconscious,無意識
mutants,突變體
appealed,呼籲
bays,海灣
streamline,流線
figurine,雕像
cyberspace,網路空間
crowne,皇冠
exif,埃克西夫
surveyors,測量員
tenacious,頑強
ordinator,座標器
veritas,華睿泰
fridays,週五
infamous,臭名昭著
pleasing,賞心悅目
inning,局
initialize,初始化
nostalgia,懷舊
petit,小
goldman,高曼
gaze,目光
remarkably,顯著
tlc,薄
foundry,鑄造
freshly,新
persecution,迫害
pls,請
fries,炸土豆條
monies,款項
bodybuilding,健美
chlorine,氯
saxon,撒克遜
burgess,伯吉斯
rye,黑麥
stall,失速
toxicology,毒物學
isabella,伊莎貝拉
acetate,醋酸鹽
assassination,暗殺
sybase,賽基
cabo,卡波
msu,密西根州立大學
fta,自貿協定
pointe,足尖
mpls,MPLS
badminton,羽毛球
destined,註定
ora,奧拉
deere,迪爾
cyan,青色
entirety,全部
informing,通知
characterize,表徵
dwellings,住宅
yearbook,年鑒
serif,襯線
yellowstone,黃石
cory,科
lubricants,潤滑油
lad,小夥子
marcel,馬賽爾
terminator,終結者
bal,巴爾
flores,弗洛雷斯
ricardo,里卡多
yourselves,你們自己
portage,水陸聯運
olivier,奧利維爾
saratoga,薩拉托加
rotterdam,鹿特丹
portability,可移植性
stacey,史黛西
bmx,小輪車
hulk,綠巨人
fsb,FSB
cracker,餅乾
galore,大量
storey,層
scotch,威士卡
audited,審計
guernsey,格恩西島
aerosol,氣溶膠
remembers,記得
philly,費城
contention,衝突
adjunct,兼職
hostage,人質
hv,高壓
aloha,阿羅哈
freddie,房地美
dehydrogenase,脫氫酶
anglican,聖公會
coolers,冷卻器
compliment,稱讚
multilateral,多邊
juliet,朱麗葉
costello,卡斯特羅
monks,僧侶
alameda,阿拉米達
clemson,克萊姆森
goin,戈因
camino,卡米諾
sermons,佈道
mlm,傳銷
cns,中樞神經系統
exponential,指數
wil,威爾
aq,AQ
gx,GX
axes,軸
postfix,後綴
cater,滿足
ants,螞蟻
toaster,多士爐
gastric,胃的
lax,寬鬆
theirs,他們
rents,租金
christy,克裡斯蒂
pits,坑
bottled,瓶裝
fj,FJ
stirring,攪拌
influencing,影響
bangor,班戈
shi,石
persia,波斯
utter,完全的
haze,陰霾
donovan,多諾萬
gev,格夫
altavista,阿爾塔維斯塔
todays,今天
secretarial,秘書
mattresses,床墊
slab,板
emblem,徽
questionnaires,問卷
tuck,塔克
dunes,沙丘
overlapping,重疊
ling,嶺
lure,誘惑
murders,謀殺
cpl,。.cpl
omb,歐姆布
serials,期刊
wei,魏
kart,卡丁車
ren,人民
sbs,SBS
rei,瑞
putin,普京
archbishop,大主教
reputable,信譽
bac,北仲
strauss,斯特勞斯
rehearsal,排演
walters,沃爾特斯
colts,馬隊
incompatible,不相容的
roadway,巷道
profileprofile,個人資料簡介
vaughn,沃恩
equivalence,等價
bottoms,底部
apoptosis,細胞凋亡
decorate,裝飾
unsuccessful,不成功
pea,豌豆
elephants,大象
sniper,狙擊手
vomiting,嘔吐
miserable,悲慘
thankful,感謝
simulate,類比
revocation,撤銷
pneumatic,氣動
condominiums,公寓
professionalism,專業
liposuction,吸脂術
exposing,暴露
additive,添加劑
chesterfield,切斯特菲爾德
vertices,頂點
swf,。.swf
schematic,圖解的
pinch,捏
medina,麥地那
libertarian,自由意志主義者
aviv,阿維夫
friedrich,弗里德里希
tubs,浴缸
appleton,阿普爾頓
alaskan,阿拉斯加
rus,羅斯
troll,釣魚
washable,洗
annotations,附註
timberland,林地
deficient,缺乏
widgets,部件
videogames,電子遊戲
scopes,範圍
outrageous,不像話
kraft,牛皮紙
worrying,擔心
refrigerators,冰箱
blackboard,黑板
concluding,總結
normalized,規範化
moderation,適度
fundraiser,籌款活動
redirected,重定向
flynn,弗林
teamwork,團隊合作
uninstall,卸載
ontology,本體
mags,法師
calhoun,卡爾霍恩
filth,污穢
vallarta,巴亞爾塔
middletown,米德爾敦
braces,括弧
auditions,試鏡
tbd,待定
hers,她
spit,吐
heavier,重
darker,暗
labelled,標記
pharmacists,藥劑師
tunnels,隧道
comforter,棉被
crises,危機
cashmere,羊絨
installs,安裝
pinball,釘球戲
tsn,TSN
latvian,拉脫維亞語
grin,笑容
asu,空分
chopper,直升機
surcharge,附加稅
footprint,腳印
meteorological,氣象
malware,惡意軟體
horsepower,馬力
nguyen,阮
trillion,兆
nitrate,硝酸鹽
salomon,所羅門
ipb,IPB
skates,冰鞋
comstock,康斯托克
hem,下擺
ineffective,無效
documenting,記錄
algae,藻
csc,中信建投
contempt,蔑視
clicked,點擊
happenings,發生
edible,食用
maximal,最大
moby,白鯨
leds,發光二極體
unrestricted,無限制的
leicestershire,萊斯特
alcoholism,酒精中毒
socialism,社會主義
arden,雅頓
neu,諾伊
bdd,發展發展局
daly,戴利
prenatal,產前
anarchy,無政府狀態
gln,葛籣
scorecard,計分卡
mcbride,麥克布萊德
sarbanes,薩班斯法案
scooby,史酷比
dissent,異議
choral,合唱
globes,地球
beirut,貝魯特
conditioners,調節
acme,頂點
leakage,滲漏
collagen,膠原
culturally,文化
praised,稱讚
ect,等
concessions,優惠
appendices,附錄
nigerian,奈及利亞
malone,馬龍
erect,直立
byrne,伯恩
gj,吉傑
evenly,平等地
shady,陰暗
chemist,化學家
janitorial,清潔工
propane,丙烷
rove,粗紗
blizzard,暴風雪
